iter	Logloss
0	0.6619492483
1	0.6372966429
2	0.6217476402
3	0.6069756996
4	0.5939481642
5	0.5830848777
6	0.5749813524
7	0.5686318035
8	0.5617564182
9	0.5567242001
10	0.5527586177
11	0.5489620366
12	0.5454884529
13	0.5414193446
14	0.5390516492
15	0.5372790045
16	0.5349569475
17	0.5331387318
18	0.5309196795
19	0.5298300719
20	0.5288374031
21	0.5276579322
22	0.5264064153
23	0.5251207473
24	0.5238854706
25	0.5230264604
26	0.5216456948
27	0.5198952284
28	0.5187954763
29	0.5178053189
30	0.5162653661
31	0.5156710612
32	0.5148975693
33	0.5135875468
34	0.5122673374
35	0.5113241677
36	0.5105682947
37	0.509196459
38	0.5084590967
39	0.5077837694
40	0.5071646775
41	0.506488459
42	0.5051892471
43	0.5045984048
44	0.5038604926
45	0.5028338125
46	0.5023495092
47	0.5019195806
48	0.5013115722
49	0.5008503752
50	0.4997816492
51	0.4993792946
52	0.497971301
53	0.4973043457
54	0.4963576389
55	0.4959391188
56	0.4952277371
57	0.4945755904
58	0.4945033471
59	0.4930969895
60	0.4926354178
61	0.4921905009
62	0.4915932514
63	0.4905629631
64	0.4900618689
65	0.4895211048
66	0.4889104728
67	0.4884106241
68	0.4880053362
69	0.4877867291
70	0.4866376659
71	0.4859464956
72	0.4855602687
73	0.4852293176
74	0.4850018888
75	0.4843986435
76	0.4841354319
77	0.483877168
78	0.4829344572
79	0.4825875358
80	0.4825499366
81	0.4818478207
82	0.4809960844
83	0.4808161536
84	0.4806655078
85	0.4804725243
86	0.4800690713
87	0.4794658596
88	0.478826326
89	0.4781560463
90	0.4775058615
91	0.4772279535
92	0.4765128599
93	0.475915925
94	0.4754206556
95	0.4746018693
96	0.4742874213
97	0.4739205153
98	0.4733322367
99	0.4728812559
100	0.4724246846
101	0.4719687789
102	0.4714822337
103	0.4708414527
104	0.4701255382
105	0.4694123889
106	0.4692488725
107	0.4687022241
108	0.467999793
109	0.4673296202
110	0.4664525518
111	0.4660574993
112	0.465679194
113	0.4652192159
114	0.4644733581
115	0.4640104267
116	0.4635639877
117	0.4628663473
118	0.4622774672
119	0.4617781874
120	0.4613719048
121	0.4609083724
122	0.4603852891
123	0.459779701
124	0.4594522658
125	0.4590233043
126	0.4585313897
127	0.458218503
128	0.4577500574
129	0.4571879778
130	0.4567655787
131	0.4559895082
132	0.4552930258
133	0.4548607183
134	0.454537608
135	0.4541848936
136	0.4539140567
137	0.453477626
138	0.452960745
139	0.4522954758
140	0.4519915394
141	0.4514927005
142	0.4510060649
143	0.4503393212
144	0.4499597898
145	0.4493416642
146	0.4491466694
147	0.4488182513
148	0.4484511595
149	0.4480601408
150	0.4475268135
151	0.4471100922
152	0.4467072604
153	0.4463144124
154	0.4459886556
155	0.4455285959
156	0.4448780699
157	0.4444217956
158	0.4440823226
159	0.4437944893
160	0.4435233182
161	0.4432292811
162	0.4427506646
163	0.4421951313
164	0.441857454
165	0.4414573493
166	0.4410140342
167	0.4405617555
168	0.4398308084
169	0.439317197
170	0.4388998512
171	0.4385510487
172	0.4381390186
173	0.4375605162
174	0.4372200367
175	0.4367661089
176	0.4364315789
177	0.4361453387
178	0.4357201577
179	0.4354671542
180	0.4349866931
181	0.4345227768
182	0.4341822016
183	0.4337867718
184	0.4334824162
185	0.433226293
186	0.4328453783
187	0.432431765
188	0.4320493352
189	0.4318032492
190	0.4310989368
191	0.430569169
192	0.4302923858
193	0.4299561472
194	0.4294553118
195	0.4290976527
196	0.4286229313
197	0.4281788186
198	0.4276969936
199	0.4273114449
200	0.4268540593
201	0.4265412666
202	0.4262327012
203	0.4255925873
204	0.4252286021
205	0.4249015356
206	0.4243821748
207	0.4241828406
208	0.4239485429
209	0.4235694578
210	0.4231800178
211	0.4226832189
212	0.4223597564
213	0.4219721802
214	0.4216764456
215	0.4212109726
216	0.4209828686
217	0.4205202854
218	0.4201378283
219	0.4196771891
220	0.4194571508
221	0.4191344754
222	0.4185994012
223	0.418228594
224	0.4175527089
225	0.4172553646
226	0.4168645936
227	0.4164623369
228	0.4161279969
229	0.4157393991
230	0.4150652257
231	0.4145127656
232	0.4140920402
233	0.4139552971
234	0.4136496997
235	0.4132739805
236	0.4126879091
237	0.4123553122
238	0.4119344116
239	0.4114407646
240	0.4111991813
241	0.4107505793
242	0.4104084466
243	0.4100974483
244	0.4098841934
245	0.4096107503
246	0.4092268292
247	0.4089351592
248	0.4083928349
249	0.4081941909
250	0.4079612998
251	0.4074800031
252	0.4070663698
253	0.4066246027
254	0.4062084285
255	0.405811995
256	0.4054392105
257	0.4051819977
258	0.4047942264
259	0.4044374905
260	0.4039653415
261	0.4036698955
262	0.4033884969
263	0.4031008906
264	0.4026485085
265	0.4022561972
266	0.4019793414
267	0.401671707
268	0.4012503186
269	0.4008416297
270	0.4003728004
271	0.4001378679
272	0.3996877847
273	0.3994212616
274	0.3992603665
275	0.3989269757
276	0.3985642369
277	0.3979028699
278	0.3974610477
279	0.3971203413
280	0.3967358091
281	0.3963497783
282	0.3959678124
283	0.3957285957
284	0.3954465031
285	0.3952376501
286	0.3949631679
287	0.3947014828
288	0.3943608446
289	0.3942335292
290	0.3937356874
291	0.3935003979
292	0.3932309736
293	0.3930168166
294	0.3926321383
295	0.3923168928
296	0.3918807595
297	0.3915572144
298	0.391277592
299	0.3910047444
