iter	Passed	Remaining
0	178	53228
1	212	31718
2	246	24386
3	281	20863
4	320	18920
5	359	17608
6	397	16637
7	433	15820
8	466	15075
9	499	14496
10	533	14012
11	567	13627
12	601	13287
13	636	12994
14	671	12761
15	704	12503
16	738	12298
17	773	12112
18	807	11946
19	841	11785
20	880	11701
21	913	11549
22	949	11433
23	984	11324
24	1020	11222
25	1068	11256
26	1113	11259
27	1149	11163
28	1184	11068
29	1219	10978
30	1256	10900
31	1292	10821
32	1330	10762
33	1368	10709
34	1404	10636
35	1440	10562
36	1475	10488
37	1508	10399
38	1544	10338
39	1579	10265
40	1615	10206
41	1650	10136
42	1685	10074
43	1720	10009
44	1755	9945
45	1793	9902
46	1830	9854
47	1867	9803
48	1903	9748
49	1941	9705
50	1980	9667
51	2019	9630
52	2056	9582
53	2090	9524
54	2128	9479
55	2162	9422
56	2198	9374
57	2234	9323
58	2270	9273
59	2306	9226
60	2344	9186
61	2378	9132
62	2412	9075
63	2445	9018
64	2483	8977
65	2518	8930
66	2551	8873
67	2584	8817
68	2620	8771
69	2660	8740
70	2703	8718
71	2757	8730
72	2810	8738
73	2852	8712
74	2893	8679
75	2935	8653
76	2976	8621
77	3019	8592
78	3058	8556
79	3102	8532
80	3145	8504
81	3181	8457
82	3215	8407
83	3256	8372
84	3291	8324
85	3328	8282
86	3363	8234
87	3398	8188
88	3439	8153
89	3478	8116
90	3516	8076
91	3551	8030
92	3587	7985
93	3627	7949
94	3666	7912
95	3714	7892
96	3752	7853
97	3791	7815
98	3826	7769
99	3860	7720
100	3894	7673
101	3929	7628
102	3968	7590
103	4004	7547
104	4036	7496
105	4072	7453
106	4107	7408
107	4140	7360
108	4176	7318
109	4205	7264
110	4239	7218
111	4275	7176
112	4312	7137
113	4351	7099
114	4393	7067
115	4432	7031
116	4470	6991
117	4503	6946
118	4534	6896
119	4563	6845
120	4593	6794
121	4621	6742
122	4649	6690
123	4681	6644
124	4714	6600
125	4746	6554
126	4784	6517
127	4813	6467
128	4841	6417
129	4873	6372
130	4903	6326
131	4931	6276
132	4958	6226
133	4986	6177
134	5017	6132
135	5046	6085
136	5074	6037
137	5102	5990
138	5129	5941
139	5157	5894
140	5188	5851
141	5218	5806
142	5243	5756
143	5269	5708
144	5295	5660
145	5319	5611
146	5346	5564
147	5373	5519
148	5401	5473
149	5427	5427
150	5455	5383
151	5482	5338
152	5509	5293
153	5536	5248
154	5564	5205
155	5591	5161
156	5618	5117
157	5646	5074
158	5677	5035
159	5708	4994
160	5737	4953
161	5767	4912
162	5796	4871
163	5827	4832
164	5857	4792
165	5887	4752
166	5917	4713
167	5946	4672
168	5980	4635
169	6007	4594
170	6034	4552
171	6064	4513
172	6096	4475
173	6127	4437
174	6161	4400
175	6192	4362
176	6221	4323
177	6250	4284
178	6281	4245
179	6310	4206
180	6340	4168
181	6369	4129
182	6399	4091
183	6428	4052
184	6456	4013
185	6483	3974
186	6510	3934
187	6537	3894
188	6564	3855
189	6593	3817
190	6623	3779
191	6659	3746
192	6696	3712
193	6729	3677
194	6769	3645
195	6806	3611
196	6838	3575
197	6871	3539
198	6907	3505
199	6941	3470
200	6978	3437
201	7013	3402
202	7049	3368
203	7090	3336
204	7123	3301
205	7160	3267
206	7195	3232
207	7230	3197
208	7266	3164
209	7303	3130
210	7339	3095
211	7373	3060
212	7409	3026
213	7442	2991
214	7472	2954
215	7505	2918
216	7535	2882
217	7569	2847
218	7603	2812
219	7634	2776
220	7666	2740
221	7699	2705
222	7731	2669
223	7765	2634
224	7798	2599
225	7830	2563
226	7863	2528
227	7895	2493
228	7926	2457
229	7956	2421
230	7987	2385
231	8018	2350
232	8051	2315
233	8083	2280
234	8114	2244
235	8145	2208
236	8176	2173
237	8205	2137
238	8235	2102
239	8266	2066
240	8299	2031
241	8329	1996
242	8359	1960
243	8392	1926
244	8425	1891
245	8455	1856
246	8490	1821
247	8526	1787
248	8560	1753
249	8593	1718
250	8626	1684
251	8656	1648
252	8687	1613
253	8725	1580
254	8760	1545
255	8792	1511
256	8825	1476
257	8855	1441
258	8884	1406
259	8915	1371
260	8945	1336
261	8977	1302
262	9012	1267
263	9043	1233
264	9071	1198
265	9099	1163
266	9128	1128
267	9156	1093
268	9184	1058
269	9213	1023
270	9242	989
271	9273	954
272	9304	920
273	9334	885
274	9367	851
275	9403	817
276	9437	783
277	9474	749
278	9511	715
279	9548	682
280	9580	647
281	9612	613
282	9642	579
283	9675	545
284	9706	510
285	9739	476
286	9772	442
287	9803	408
288	9835	374
289	9866	340
290	9897	306
291	9930	272
292	9965	238
293	10001	204
294	10036	170
295	10070	136
296	10102	102
297	10136	68
298	10168	34
299	10200	0
