iter	Logloss
0	0.661303041
1	0.6359336668
2	0.6164669454
3	0.5957544609
4	0.5809337466
5	0.5711029229
6	0.5625037623
7	0.5544468988
8	0.5488830115
9	0.5440210765
10	0.5396164343
11	0.5336246122
12	0.5303935362
13	0.52623034
14	0.5238002476
15	0.5217509807
16	0.519493156
17	0.5168512824
18	0.5154945734
19	0.5129770512
20	0.5113054221
21	0.5099798535
22	0.5067821066
23	0.504432519
24	0.5032262363
25	0.5012179818
26	0.4997866691
27	0.4980489417
28	0.4965004552
29	0.4951739806
30	0.4939642859
31	0.4924827682
32	0.4917619407
33	0.4903419536
34	0.4891752437
35	0.4881763718
36	0.4870021837
37	0.4858203101
38	0.4849288537
39	0.4841631649
40	0.483034739
41	0.4815747476
42	0.4809587504
43	0.4797137399
44	0.4775487285
45	0.4767363009
46	0.4757863867
47	0.4744389978
48	0.4735977127
49	0.4723576892
50	0.4713786696
51	0.4706323685
52	0.4687258508
53	0.467793827
54	0.4666914148
55	0.4658916375
56	0.4653832751
57	0.4642824847
58	0.4633093212
59	0.4625387551
60	0.4610017178
61	0.4577124756
62	0.4569740867
63	0.4563669772
64	0.4556243532
65	0.4549657977
66	0.4531533676
67	0.4523005858
68	0.4515395816
69	0.4510441571
70	0.4500873494
71	0.448958295
72	0.4483384063
73	0.4473216638
74	0.4467598778
75	0.4460156706
76	0.4442596383
77	0.4433812158
78	0.442778486
79	0.4420822471
80	0.4413656705
81	0.440840187
82	0.4403623271
83	0.4397257007
84	0.4388203382
85	0.4385421985
86	0.4379863954
87	0.4374985728
88	0.4361410753
89	0.4353155537
90	0.4344539776
91	0.4337433282
92	0.4331102654
93	0.4324925805
94	0.4317690653
95	0.4310774875
96	0.430419737
97	0.4296530957
98	0.429172292
99	0.4285796052
100	0.4281978897
101	0.4268345841
102	0.4259054199
103	0.4246899522
104	0.4236477652
105	0.4225137861
106	0.421556847
107	0.4206564644
108	0.4199407504
109	0.4194312397
110	0.4186996326
111	0.4183798985
112	0.4175077648
113	0.41544623
114	0.4145993291
115	0.4134399383
116	0.4113434118
117	0.4099524807
118	0.4090004087
119	0.4078805771
120	0.4071678864
121	0.4062858754
122	0.4055164086
123	0.4047863431
124	0.403668774
125	0.4031284564
126	0.4026105578
127	0.4018214079
128	0.4007645042
129	0.400001502
130	0.3995509874
131	0.3990137812
132	0.398127801
133	0.3976478407
134	0.3970052845
135	0.3964577235
136	0.3955853547
137	0.3951264235
138	0.3945724371
139	0.3939397944
140	0.3933210454
141	0.392718913
142	0.3921033256
143	0.391345509
144	0.3907435799
145	0.3897842389
146	0.3891969553
147	0.3887171379
148	0.3880092938
149	0.3872727079
150	0.386790099
151	0.3859104278
152	0.3852334068
153	0.3847991768
154	0.3840812204
155	0.3830849834
156	0.3822067083
157	0.3816514988
158	0.3812140662
159	0.3807194721
160	0.3801119059
161	0.3794177755
162	0.3788750346
163	0.3784614617
164	0.3778935537
165	0.3771891422
166	0.3765773224
167	0.3760428894
168	0.3755485461
169	0.3747947873
170	0.3743186927
171	0.3737592146
172	0.3732447287
173	0.3727671676
174	0.3722242461
175	0.3715306802
176	0.3708899534
177	0.3703310051
178	0.3698450461
179	0.3691783074
180	0.3688106326
181	0.3684675231
182	0.3679418696
183	0.367574925
184	0.3671576855
185	0.366671023
186	0.3662875311
187	0.3657963011
188	0.3652243607
189	0.3648152581
190	0.3643168897
191	0.3638738374
192	0.363595919
193	0.3629511769
194	0.362551879
195	0.3617816983
196	0.360962646
197	0.36065973
198	0.3603248838
199	0.3599289659
200	0.3592773513
201	0.3583049569
202	0.3578260508
203	0.3571970951
204	0.3564368665
205	0.3560130942
206	0.3554533575
207	0.3548133465
208	0.3542789334
209	0.353998895
210	0.3534465403
211	0.3530481834
212	0.3523354515
213	0.3517600407
214	0.3514452982
215	0.3511325433
216	0.3507867526
217	0.350286695
218	0.3495901549
219	0.3491067013
220	0.3485748324
221	0.3481590176
222	0.3475846696
223	0.3470726663
224	0.3465102479
225	0.3460928754
226	0.3455623811
227	0.3451418024
228	0.3446914403
229	0.3442208022
230	0.3433979356
231	0.3429837629
232	0.3425744323
233	0.3421963875
234	0.3417867498
235	0.3414017037
236	0.3409664091
237	0.3407374723
238	0.340104701
239	0.3397019986
240	0.3393528257
241	0.3391128521
242	0.3387907033
243	0.3383643144
244	0.3379974121
245	0.3375862246
246	0.3372320161
247	0.336901158
248	0.3364145809
249	0.3359768647
250	0.3355043794
251	0.3351247267
252	0.3347964455
253	0.3343296019
254	0.3338983888
255	0.3334834783
256	0.3332407806
257	0.3325434086
258	0.332067189
259	0.3317337563
260	0.3313435781
261	0.331130267
262	0.3306767486
263	0.3301594095
264	0.3297503193
265	0.3294230635
266	0.3291428555
267	0.328740038
268	0.3282378594
269	0.3278060807
270	0.3274331567
271	0.3269929153
272	0.3264799523
273	0.3260592893
274	0.3256679979
275	0.3253159678
276	0.3248606261
277	0.3244356396
278	0.3240540871
279	0.3236065758
280	0.3233268931
281	0.322856947
282	0.3224913963
283	0.3221879126
284	0.3216993601
285	0.3213743716
286	0.3211366179
287	0.3206010521
288	0.3202654494
289	0.319852121
290	0.3192520192
291	0.3187063563
292	0.3183635841
293	0.3179602842
294	0.317677501
295	0.3172226652
296	0.316698826
297	0.3163811659
298	0.3158053603
299	0.315184521
