iter	Passed	Remaining
0	88	26327
1	142	21228
2	204	20285
3	255	18884
4	302	17850
5	348	17089
6	390	16362
7	434	15847
8	480	15520
9	522	15152
10	565	14851
11	606	14558
12	650	14350
13	695	14200
14	739	14046
15	781	13869
16	823	13702
17	870	13643
18	913	13506
19	956	13385
20	1000	13291
21	1046	13218
22	1091	13149
23	1134	13048
24	1179	12974
25	1223	12891
26	1267	12812
27	1309	12724
28	1351	12632
29	1394	12548
30	1437	12470
31	1480	12401
32	1523	12328
33	1566	12253
34	1608	12174
35	1652	12115
36	1698	12076
37	1746	12038
38	1788	11969
39	1831	11904
40	1877	11861
41	1922	11807
42	1967	11761
43	2012	11710
44	2059	11671
45	2103	11614
46	2146	11554
47	2189	11496
48	2231	11430
49	2274	11373
50	2316	11311
51	2359	11253
52	2403	11201
53	2445	11142
54	2490	11092
55	2532	11033
56	2575	10978
57	2618	10925
58	2660	10866
59	2703	10814
60	2747	10764
61	2790	10712
62	2833	10661
63	2879	10617
64	2921	10562
65	2962	10503
66	3004	10448
67	3045	10392
68	3090	10347
69	3141	10322
70	3190	10289
71	3244	10274
72	3289	10229
73	3336	10188
74	3377	10133
75	3424	10092
76	3466	10039
77	3510	9990
78	3552	9938
79	3594	9883
80	3635	9828
81	3676	9775
82	3719	9723
83	3767	9687
84	3816	9653
85	3862	9611
86	3915	9585
87	3964	9550
88	4010	9508
89	4057	9467
90	4103	9424
91	4148	9380
92	4194	9335
93	4240	9293
94	4286	9249
95	4331	9204
96	4378	9163
97	4424	9120
98	4469	9075
99	4515	9031
100	4559	8984
101	4602	8934
102	4647	8889
103	4692	8843
104	4735	8793
105	4781	8750
106	4825	8703
107	4870	8658
108	4918	8617
109	4962	8571
110	5007	8526
111	5052	8481
112	5098	8436
113	5141	8388
114	5185	8342
115	5230	8297
116	5273	8248
117	5318	8203
118	5362	8156
119	5406	8110
120	5449	8061
121	5491	8011
122	5532	7961
123	5574	7912
124	5616	7862
125	5658	7814
126	5698	7762
127	5742	7715
128	5783	7666
129	5826	7619
130	5868	7571
131	5913	7526
132	5957	7479
133	5997	7429
134	6039	7382
135	6083	7335
136	6129	7292
137	6172	7245
138	6213	7197
139	6258	7152
140	6301	7106
141	6345	7060
142	6386	7011
143	6431	6967
144	6472	6919
145	6513	6870
146	6557	6824
147	6598	6776
148	6640	6729
149	6682	6682
150	6725	6636
151	6766	6588
152	6808	6541
153	6850	6494
154	6941	6493
155	7024	6484
156	7092	6460
157	7160	6435
158	7226	6408
159	7291	6380
160	7364	6358
161	7427	6327
162	7477	6284
163	7528	6242
164	7582	6203
165	7633	6162
166	7684	6119
167	7737	6079
168	7786	6035
169	7835	5992
170	7886	5949
171	7937	5906
172	7988	5864
173	8045	5825
174	8094	5781
175	8143	5737
176	8188	5690
177	8232	5642
178	8278	5595
179	8324	5549
180	8371	5504
181	8415	5455
182	8456	5406
183	8500	5359
184	8543	5310
185	8588	5263
186	8630	5215
187	8673	5166
188	8716	5118
189	8758	5070
190	8799	5021
191	8843	4974
192	8884	4925
193	8927	4878
194	8969	4829
195	9012	4782
196	9055	4734
197	9098	4686
198	9140	4639
199	9181	4590
200	9225	4543
201	9267	4496
202	9308	4448
203	9350	4400
204	9392	4352
205	9433	4304
206	9476	4257
207	9516	4209
208	9561	4163
209	9605	4116
210	9647	4069
211	9688	4021
212	9729	3973
213	9771	3926
214	9813	3879
215	9854	3832
216	9897	3785
217	9939	3738
218	9982	3692
219	10026	3645
220	10068	3599
221	10109	3552
222	10152	3505
223	10194	3458
224	10236	3412
225	10279	3365
226	10320	3318
227	10361	3271
228	10404	3225
229	10447	3179
230	10490	3133
231	10536	3088
232	10580	3042
233	10624	2996
234	10666	2950
235	10708	2904
236	10749	2857
237	10790	2810
238	10833	2764
239	10874	2718
240	10917	2672
241	10958	2626
242	11001	2580
243	11042	2534
244	11085	2488
245	11126	2442
246	11168	2396
247	11209	2350
248	11251	2304
249	11293	2258
250	11334	2212
251	11376	2166
252	11418	2121
253	11461	2075
254	11503	2030
255	11546	1984
256	11586	1938
257	11632	1893
258	11675	1848
259	11717	1802
260	11757	1756
261	11799	1711
262	11841	1665
263	11882	1620
264	11924	1574
265	11966	1529
266	12007	1484
267	12049	1438
268	12093	1393
269	12135	1348
270	12177	1303
271	12219	1257
272	12262	1212
273	12304	1167
274	12345	1122
275	12385	1077
276	12427	1031
277	12469	986
278	12511	941
279	12553	896
280	12594	851
281	12636	806
282	12678	761
283	12725	716
284	12775	672
285	12819	627
286	12862	582
287	12903	537
288	12945	492
289	12987	447
290	13029	402
291	13072	358
292	13114	313
293	13155	268
294	13196	223
295	13238	178
296	13281	134
297	13323	89
298	13369	44
299	13412	0
